"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T07:00:00","57.9","72.0","65.4","71.4","64.9","77.0","71.3","71.3"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T08:00:00","57.9","71.1","65.6","74.0","66.9","80.1","73.6","73.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T09:00:00","57.9","72.0","65.5","77.2","69.1","82.9","76.1","76.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T10:00:00","57.9","71.1","65.5","80.1","70.0","86.0","78.4","78.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T11:00:00","57.9","71.1","65.4","82.4","73.0","88.0","80.4","80.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T12:00:00","57.9","71.1","65.2","84.5","73.9","90.0","82.3","82.3"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T13:00:00","57.0","71.1","65.1","86.1","73.9","91.0","83.8","83.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T14:00:00","57.0","71.1","64.9","87.3","75.0","93.0","84.9","84.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T15:00:00","57.0","71.1","64.7","87.6","75.0","93.9","85.3","85.3"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T16:00:00","55.9","71.1","64.6","87.7","75.9","93.9","85.4","85.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T17:00:00","55.9","71.1","64.3","86.8","75.0","93.0","84.7","84.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T18:00:00","55.9","71.1","64.3","85.3","73.9","91.0","83.4","83.3"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T19:00:00","55.9","71.1","64.4","82.8","72.0","89.1","81.1","81.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T20:00:00","55.9","71.1","64.5","79.9","70.0","86.0","78.6","78.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T21:00:00","57.0","71.1","64.7","78.1","69.1","84.9","76.9","76.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T22:00:00","57.0","71.1","64.8","76.8","68.0","82.9","75.9","75.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T23:00:00","57.0","71.1","64.9","75.5","66.9","82.0","74.7","74.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T00:00:00","57.9","71.1","64.9","74.3","66.0","81.0","73.7","73.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T01:00:00","57.0","71.1","64.8","73.0","64.9","80.1","72.7","72.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-29T02:00:00","57.0","71.1","64.8","72.0","64.9","79.0","71.8","71.8"
